Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000021795,Sftpd,,,,,,,,,,,,,0.8,,,,15,,,,,,,,,,,,,,,,5,,
ENSMUSG00000021796,Bmpr1a,,,3,,2,,,0.5,,0.5,0.6,,3,,0.7,0.8,1,,,,1,0.7,0.9,1,,,1,,,,4,4,,,0.5
ENSMUSG00000021798,Ldb3,,,6,28,6,,,10,,,,,9,,17,10,2,,,0.7,,,0.7,48,2,,2,,,0.9,98,10,,,1
ENSMUSG00000021799,Opn4,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000021803,Cdhr1,1,,,,,,3,,4,2,1,,69,2,,,,,141,,,1,,,0.8,,,,,2,2,,,,
ENSMUSG00000021804,Rgr,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000021807,2700060E02Rik,83,63,65,60,77,58,62,74,67,62,61,162,69,65,58,74,61,74,47,65,87,70,99,51,70,53,95,66,318,79,76,88,67,79,94
ENSMUSG00000021810,Ecd,18,16,13,22,7,17,17,11,20,18,17,22,18,17,7,13,12,22,18,14,12,18,21,16,21,18,12,16,43,16,17,16,15,17,16
ENSMUSG00000021811,Dnajc9,17,10,5,23,0.9,10,7,5,9,10,10,5,6,7,3,7,7,10,13,7,0.7,12,4,9,9,25,6,7,231,18,5,3,9,5,9
ENSMUSG00000021814,Anxa7,0.5,1,1,0.9,2,1,2,2,1,0.9,2,0.5,1,2,1,0.5,1,1,,,,0.7,1,2,2,1,3,0.6,0.6,,3,2,3,5,2
ENSMUSG00000021816,Ppp3cb,25,18,23,19,7,50,88,15,52,52,57,13,21,84,14,13,17,47,62,15,23,23,15,18,55,24,15,20,20,20,32,21,18,13,19
ENSMUSG00000021819,Zswim8,4,28,14,10,21,28,24,13,24,30,19,18,14,26,15,9,22,24,23,21,20,34,15,11,23,10,10,15,14,10,13,21,20,15,15
ENSMUSG00000021820,Camk2g,35,31,39,27,9,93,186,14,187,93,117,31,35,115,13,13,37,228,106,71,16,74,30,46,258,16,24,19,10,40,55,91,36,33,50
ENSMUSG00000021822,Plau,33,39,34,29,35,1,4,26,3,5,2,96,14,3,2,16,15,4,2,156,27,2,17,49,5,8,52,54,1,24,36,126,100,162,529
ENSMUSG00000021823,Vcl,0.5,4,3,3,2,1,2,,2,4,0.8,4,2,3,0.7,0.5,2,1,4,2,3,5,1,4,2,2,1,1,2,0.9,3,2,3,3,1
ENSMUSG00000021824,Ap3m1,36,32,33,21,33,25,24,26,27,21,24,31,21,26,28,29,27,28,21,27,21,34,50,19,37,20,22,29,41,19,27,27,26,30,43
ENSMUSG00000021830,Txndc16,23,10,8,8,2,29,23,3,36,28,31,19,9,25,0.7,2,11,43,38,8,1,20,3,8,47,7,4,7,8,13,8,13,9,3,5
ENSMUSG00000021831,Ero1l,4,6,6,3,6,7,7,5,10,4,9,5,6,9,4,4,9,8,6,3,13,6,7,2,8,3,4,7,1,3,2,5,4,5,6
ENSMUSG00000021832,Psmc6,157,167,221,161,132,146,173,155,175,171,171,167,228,178,156,126,150,210,135,161,117,148,152,144,186,152,194,128,110,189,230,167,139,145,120
ENSMUSG00000021835,Bmp4,,,2,,,,,0.9,,,,,,,,,5,,,,,,,2,,,2,,,,1,3,,,
ENSMUSG00000021838,Samd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
ENSMUSG00000021840,Mapk1ip1l,242,83,92,127,212,66,62,201,47,68,46,74,74,57,295,261,94,42,53,107,117,92,80,94,47,99,120,70,134,134,71,88,102,82,73
ENSMUSG00000021846,Peli2,,,2,0.9,,2,,,1,0.5,1,,1,0.8,,,,1,2,1,,,,1,1,,1,,4,,0.9,0.6,,0.9,0.5
ENSMUSG00000021848,Otx2,,,,,,8,,,12,0.9,5,,20,4,,,,1,,,,1,,,,,,,,,,,,,
ENSMUSG00000021850,1700011H14Rik,,,,,2,,,5,,,,64,,,,,,,,4,9,,,,,,2,,284,,,,3,,
ENSMUSG00000021852,Slc35f4,,,,,,3,8,,7,6,5,,,6,,,,7,10,,,1,,,5,,,,,,,,,,
ENSMUSG00000021866,Anxa11,3,4,9,11,54,0.9,5,28,1,0.5,2,3,5,10,28,18,17,2,0.6,5,4,2,16,7,2,3,33,25,1,2,17,15,9,9,7
ENSMUSG00000021868,Ppif,26,11,72,50,89,20,19,40,33,29,26,15,45,26,19,46,10,37,24,16,37,10,25,72,34,23,164,23,6,21,73,10,17,119,26
ENSMUSG00000021870,Slmap,,,2,,,,,,,,,,0.6,,,,,,,1,,,,,,,1,,0.6,,,2,3,,
ENSMUSG00000021872,Rnase10,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,
ENSMUSG00000021876,Rnase4,9,20,25,8,22,3,3,19,3,3,4,17,9,3,10,7,128,4,2,17,29,4,21,42,4,2,47,9,,5,15,75,51,40,30
ENSMUSG00000021877,Arf4,1,,1,0.9,2,,0.9,2,,1,,2,0.6,1,0.7,3,1,,0.6,2,,2,2,1,1,1,3,1,12,1,0.5,1,2,0.9,
ENSMUSG00000021879,Dnah12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,
